full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-31-36-49 MB:04,36-49,133,18,0,no
04-13-31-51-52 MB:04,51-52,151,17,1,yes
04-13-31-52-56 MB:04,52-56,156,17,1,no
04-13-31-35-52 MB:04,35-52,135,17,0,no
04-13-31-37-52 MB:04,37-52,137,17,0,no
04-13-31-43-52 MB:04,43-52,143,17,0,no
04-13-31-46-52 MB:04,46-52,146,17,0,no
04-13-31-47-52 MB:04,47-52,147,17,0,no
04-13-31-52-57 MB:04,52-57,157,17,0,no
04-13-31-38-52 MB:04,38-52,138,16,1,no
04-13-31-52-53 MB:04,52-53,153,16,1,yes
04-13-31-33-52 MB:04,33-52,133,15,1,no
04-13-31-39-52 MB:04,39-52,139,15,1,no
04-13-31-41-52 MB:04,41-52,141,15,1,no
04-13-31-40-52 MB:04,40-52,140,15,0,no
04-13-31-44-52 MB:04,44-52,144,15,0,no
04-13-31-52-58 MB:04,52-58,158,15,0,no
04-13-31-34-52 MB:04,34-52,134,14,0,no
04-13-31-36-52 MB:04,36-52,136,14,0,no
04-13-31-49-52 MB:04,49-52,149,14,0,no
